district,avg_rainfall,state,groundwater_resource,future_groundwater,groundwater_stress,state_pop,population,availability_score,demand_score,scarcity_score,risk_level
krishnagiri,0.10067366628984727,tamilnadu,0.1337089538032283,0.020130176434855485,0.34482556606813314,tamil nadu,0.16603585695372328,0.08642120558736405,0.21967276968804622,2.27826201041438,High
kulgam,0.12596149936157583,j&k,0.018006570175242678,0.013634255959326125,0.09827470048917658,jammu and kashmir,0.03383053202585666,0.059876847585000975,0.05316378256485263,0.7608211360734626,Low
kupwara,0.12657227205816568,j&k,0.05541360421684133,0.04643983287827045,0.06555552300887546,jammu and kashmir,0.07433452936453734,0.0811849399517998,0.07170082745783878,0.7863231307246538,Low
kurnool,0.08000092171645289,andhra pradesh,0.5516296158746782,0.3566916262679184,0.12220627434898501,andhra pradesh,0.3634958304241051,0.3044967413293601,0.29110896360156907,0.9256342764350046,Medium
kachchh,0.03572464534248543,gujarat,0.2997274253762814,0.05257614471695755,0.24540847710829256,gujarat,0.18534550185618304,0.11998092916496585,0.20336439443181586,1.5645710162120405,High
lakhimpur,0.4346717198415731,assam,0.40690647061808705,0.40752840775813354,0.013942997744515068,assam,0.08993971152446832,0.4181991514494954,0.06714069739048234,0.15679782914843388,Low
lalitpur,0.10658186875299892,uttarpradesh,0.1424096759154009,0.02381827418726556,0.22918070242244937,uttar pradesh,0.10624183667369969,0.09250113253199951,0.14312349639832458,1.3963113661563038,Medium
latehar,0.16948522136104988,jharkhand,0.07667630947907055,0.058310512088752244,0.08503471103430094,jharkhand,0.06130990761871695,0.10829013501476678,0.06842734864339214,0.5784704585454231,Low
latur,0.10369906499998642,maharashtra,0.2337387731153168,0.10222260459409208,0.16280500307566126,maharashtra,0.21821455778731141,0.14226803931281723,0.20159169137381636,1.3239264935937693,Medium
lohardaga,0.15225183462238084,jharkhand,0.0630839757648945,0.05862903340527776,0.03998359647324174,jharkhand,0.03721958991191375,0.09741463660000402,0.03804879188031215,0.35422353121204647,Low
lohit,0.28519696267319444,arunachal pradesh,0.2846463199764323,0.2985109591914379,0.0005272562172295615,arunachal pradesh,0.008507573622779062,0.2890259688196388,0.006113478401114212,0.0204446403944322,Low
lucknow,0.10987510742063071,uttarpradesh,0.2702902867412247,0.1114512102069681,0.19113037874571603,uttar pradesh,0.41222142947076845,0.15847249205271013,0.34589411425325267,2.0531192364925217,High
ludhiana,0.07827649867028846,punjab,0.6958284145495082,0.0,0.5356044406690295,punjab,0.3131033639490432,0.24005912383296785,0.3798536869650391,1.5190554983259485,High
